duration in seconds,source,target,weight
2217,74,81,0.605737705
2216,74,23,0.605464481
2216,74,67,0.605464481
2216,74,68,0.605464481
2215,74,52,0.605191257
2213,74,74,0.604644809
2211,74,49,0.604098361
2208,74,81,0.603278689
2205,74,74,0.602459016
2201,74,75,0.60136612
2200,74,197,0.601092896
2200,74,366,0.601092896
2198,74,68,0.600546448
2197,74,60,0.600273224
2197,74,236,0.600273224
2196,74,36,0.6
2196,74,70,0.6
2193,74,374,0.599180328
2192,74,218,0.598907104
2189,74,60,0.598087432
2188,74,352,0.597814208
2186,74,74,0.59726776
2183,74,81,0.596448087
2181,74,149,0.595901639
2180,74,60,0.595628415
2179,74,97,0.595355191
2174,74,75,0.593989071
2173,74,149,0.593715847
2172,74,149,0.593442623
2169,74,67,0.592622951
2164,74,30,0.591256831
2163,74,186,0.590983607
2162,74,160,0.590710383
2162,74,33,0.590710383
2162,74,357,0.590710383
2161,74,174,0.590437158
2161,74,35,0.590437158
2160,74,206,0.590163934
2159,74,74,0.58989071
2153,74,233,0.588251366
2153,74,131,0.588251366
2152,74,151,0.587978142
2151,74,380,0.587704918
2150,74,179,0.587431694
2150,74,33,0.587431694
2150,74,122,0.587431694
2150,74,87,0.587431694
2148,74,33,0.586885246
2147,74,12,0.586612022
2143,74,58,0.585519126
2143,74,143,0.585519126
2143,74,58,0.585519126
2139,74,190,0.58442623
2138,74,179,0.584153005
2138,74,374,0.584153005
2137,74,52,0.583879781
2135,74,98,0.583333333
2133,74,74,0.582786885
2133,74,12,0.582786885
2132,74,227,0.582513661
2132,74,98,0.582513661
2130,74,160,0.581967213
2129,74,384,0.581693989
2125,74,70,0.580601093
2124,74,42,0.580327869
2123,74,141,0.580054645
2117,74,53,0.578415301
2115,74,346,0.577868852
2109,74,43,0.576229508
2108,74,376,0.575956284
2107,74,58,0.57568306
2107,74,33,0.57568306
2106,74,58,0.575409836
2104,74,58,0.574863388
2103,74,206,0.574590164
2101,74,3,0.574043716
2098,74,370,0.573224044
2098,74,370,0.573224044
2092,74,374,0.571584699
2092,74,332,0.571584699
2088,74,133,0.570491803
2086,74,179,0.569945355
2083,74,100,0.569125683
2080,74,206,0.568306011
2078,74,57,0.567759563
2078,74,206,0.567759563
2078,74,122,0.567759563
2073,74,82,0.566393443
2071,74,58,0.565846995
2070,74,57,0.56557377
2066,74,35,0.564480874
2063,74,50,0.563661202
2063,74,12,0.563661202
2063,74,3,0.563661202
2059,74,190,0.562568306
2059,74,33,0.562568306
2058,74,30,0.562295082
2056,74,84,0.561748634
2053,74,40,0.560928962
2051,74,179,0.560382514
2051,74,346,0.560382514
2050,74,163,0.56010929
2049,74,346,0.559836066
2048,74,60,0.559562842
2047,74,60,0.559289617
2043,74,374,0.558196721
2043,74,60,0.558196721
2043,74,67,0.558196721
2032,74,67,0.555191257
2031,74,61,0.554918033
2031,74,208,0.554918033
2030,74,89,0.554644809
2029,74,175,0.554371585
2028,74,50,0.554098361
2028,74,46,0.554098361
2026,74,131,0.553551913
2026,74,8,0.553551913
2025,74,206,0.553278689
2025,74,359,0.553278689
2023,74,111,0.55273224
2020,74,206,0.551912568
2019,74,33,0.551639344
2018,74,364,0.55136612
2018,74,124,0.55136612
2017,74,327,0.551092896
2016,74,357,0.550819672
2010,74,68,0.549180328
2010,74,344,0.549180328
2009,74,60,0.548907104
2009,74,52,0.548907104
2003,74,60,0.54726776
1998,74,30,0.545901639
1996,74,318,0.545355191
1996,74,206,0.545355191
1993,74,370,0.544535519
1990,74,151,0.543715847
1989,74,22,0.543442623
1988,74,76,0.543169399
1986,74,179,0.542622951
1985,74,42,0.542349727
1985,74,61,0.542349727
1983,74,67,0.541803279
1982,74,19,0.541530055
1982,74,70,0.541530055
1981,74,60,0.541256831
1981,74,185,0.541256831
1978,74,206,0.540437158
1977,74,179,0.540163934
1974,74,16,0.539344262
1973,74,61,0.539071038
1972,74,103,0.538797814
1968,74,40,0.537704918
1967,74,25,0.537431694
1967,74,179,0.537431694
1966,74,370,0.53715847
1966,74,204,0.53715847
1964,74,115,0.536612022
1964,74,89,0.536612022
1964,74,78,0.536612022
1955,74,79,0.534153005
1955,74,357,0.534153005
1950,74,19,0.532786885
1944,74,19,0.531147541
1943,74,48,0.530874317
1943,74,189,0.530874317
1942,74,364,0.530601093
1942,74,12,0.530601093
1939,74,36,0.529781421
1939,74,74,0.529781421
1936,74,60,0.528961749
1934,74,53,0.528415301
1934,74,52,0.528415301
1932,74,190,0.527868852
1931,74,36,0.527595628
1929,74,178,0.52704918
1927,74,6,0.526502732
1926,74,179,0.526229508
1923,74,61,0.525409836
1923,74,61,0.525409836
1919,74,12,0.52431694
1918,74,11,0.524043716
1916,74,35,0.523497268
1916,74,206,0.523497268
1915,74,4,0.523224044
1915,74,67,0.523224044
1913,74,319,0.522677596
1913,74,357,0.522677596
1912,74,369,0.522404372
1911,74,351,0.522131148
1911,74,55,0.522131148
1910,74,180,0.521857923
1910,74,22,0.521857923
1910,74,70,0.521857923
1909,74,116,0.521584699
1907,74,55,0.521038251
1906,74,61,0.520765027
1906,74,384,0.520765027
1903,74,52,0.519945355
1900,74,67,0.519125683
1894,74,60,0.517486339
1894,74,384,0.517486339
1893,74,384,0.517213115
1892,74,6,0.516939891
1890,74,53,0.516393443
1890,74,73,0.516393443
1890,74,351,0.516393443
1890,74,90,0.516393443
1888,74,190,0.515846995
1886,74,363,0.515300546
1885,74,206,0.515027322
1884,74,357,0.514754098
1883,74,73,0.514480874
1881,74,120,0.513934426
1881,74,76,0.513934426
1880,74,61,0.513661202
1876,74,61,0.512568306
1876,74,33,0.512568306
1868,74,122,0.510382514
1866,74,157,0.509836066
1864,74,384,0.509289617
1862,74,351,0.508743169
1859,74,61,0.507923497
1858,74,73,0.507650273
1858,74,52,0.507650273
1858,74,60,0.507650273
1857,74,74,0.507377049
1855,74,369,0.506830601
1854,74,342,0.506557377
1853,74,35,0.506284153
1852,74,33,0.506010929
1850,74,141,0.505464481
1849,74,10,0.505191257
1848,74,122,0.504918033
1847,74,53,0.504644809
1844,74,78,0.503825137
1842,74,280,0.503278689
1840,74,14,0.50273224
1839,74,372,0.502459016
1838,74,53,0.502185792
1836,74,91,0.501639344
1835,74,73,0.50136612
1835,74,206,0.50136612
1834,74,61,0.501092896
1833,74,74,0.500819672
1832,74,20,0.500546448
1829,74,52,0.499726776
1828,74,182,0.499453552
1827,74,179,0.499180328
1825,74,52,0.49863388
1824,74,97,0.498360656
1824,74,206,0.498360656
1823,74,90,0.498087432
1822,74,3,0.497814208
1820,74,74,0.49726776
1820,74,149,0.49726776
1819,74,188,0.496994536
1819,74,17,0.496994536
1819,74,17,0.496994536
1818,74,342,0.496721311
1817,74,33,0.496448087
1817,74,3,0.496448087
1816,74,332,0.496174863
1816,74,69,0.496174863
1816,74,100,0.496174863
1816,74,3,0.496174863
1814,74,20,0.495628415
1813,74,227,0.495355191
1813,74,74,0.495355191
1812,74,61,0.495081967
1812,74,115,0.495081967
1807,74,74,0.493715847
1806,74,67,0.493442623
1806,74,71,0.493442623
1806,74,74,0.493442623
1805,74,140,0.493169399
1805,74,70,0.493169399
1804,74,328,0.492896175
1803,74,16,0.492622951
1803,74,53,0.492622951
1803,74,55,0.492622951
1801,74,67,0.492076503
1800,74,52,0.491803279
