tripduration,starttime,stoptime,start station id,start station name,end station id,end station name,id,name
5793,52:14.9,28:48.7,74,Harvard Square at Mass Ave/ Dunster,149,175 N Harvard St,61,Boylston St at Fairfield St
5785,14:26.1,50:51.8,74,Harvard Square at Mass Ave/ Dunster,208,Oak Square - 615 Washington St,79,Beacon St at Washington / Kirkland
5741,14:37.6,50:19.4,74,Harvard Square at Mass Ave/ Dunster,208,Oak Square - 615 Washington St,342,Boylston St at Jersey St
5733,52:44.0,28:17.8,74,Harvard Square at Mass Ave/ Dunster,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,182,Museum of Science
5685,51:18.3,26:03.4,74,Harvard Square at Mass Ave/ Dunster,387,7 Acre Park,352,Ring Rd
5679,03:11.0,37:50.2,74,Harvard Square at Mass Ave/ Dunster,54,Tremont St at West St,19,Park Dr at Buswell St
5651,00:29.0,34:40.1,74,Harvard Square at Mass Ave/ Dunster,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,177,University Park
5617,53:09.1,26:47.0,74,Harvard Square at Mass Ave/ Dunster,58,Mugar Way at Beacon St,71,Conway Park - Somerville Avenue
5577,03:13.1,36:10.2,74,Harvard Square at Mass Ave/ Dunster,213,East Boston Neighborhood Health Center - 20 Maverick Square,370,Dartmouth St at Newbury St
5575,54:59.1,27:55.1,74,Harvard Square at Mass Ave/ Dunster,227,Silber Way,384,Clarendon St at Newbury St
5567,38:36.1,11:23.2,74,Harvard Square at Mass Ave/ Dunster,58,Mugar Way at Beacon St,26,Washington St at Waltham St
5560,54:57.4,27:38.2,74,Harvard Square at Mass Ave/ Dunster,227,Silber Way,53,Beacon St at Massachusetts Ave
5552,55:12.9,27:45.5,74,Harvard Square at Mass Ave/ Dunster,227,Silber Way,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St
5523,50:54.1,22:57.8,74,Harvard Square at Mass Ave/ Dunster,221,Verizon Innovation Hub 10 Ware Street,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace
5517,01:01.2,32:58.8,74,Harvard Square at Mass Ave/ Dunster,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,151,Surface Rd at India St
5507,32:28.4,04:16.2,74,Harvard Square at Mass Ave/ Dunster,70,Harvard Kennedy School at Bennett St / Eliot St,125,Hyde Square - Barbara St at Centre St
