tripduration,start_station_id,start_station_name,end_station_id,end_station_name
123572,21,Prudential Center - 101 Huntington Ave,1,18 Dorrance Warehouse
123381,378,191 Beacon St,1,18 Dorrance Warehouse
122870,342,Boylston St at Jersey St,233,St Mary's
122542,194,Broadway St at Mt Pleasant St,194,Broadway St at Mt Pleasant St
121343,338,Commonwealth Ave at Kelton St,8,Union Square - Brighton Ave at Cambridge St
121138,122,Burlington Ave at Brookline Ave,115,Porter Square Station
120624,4,Tremont St at E Berkeley St,80,MIT Stata Center at Vassar St / Main St
119117,22,South Station - 700 Atlantic Ave,362,Columbia Rd at Tierney Community Center
116025,163,The Lawn on D,33,Kenmore Square
111230,190,Nashua Street at Red Auerbach Way,190,Nashua Street at Red Auerbach Way
110830,196,Roxbury YMCA - Warren St at MLK Blvd,368,Blue Hill Ave at Southwood St
109966,11,Longwood Ave at Binney St,374,Tremont St at Hamilton Pl
108123,24,Seaport Square - Seaport Blvd at Northern Ave,59,Chinatown Gate Plaza
108043,161,W Broadway at D St,22,South Station - 700 Atlantic Ave
107089,171,Bunker Hill Community College,171,Bunker Hill Community College
106989,24,Seaport Square - Seaport Blvd at Northern Ave,43,Rowes Wharf at Atlantic Ave
105770,67,MIT at Mass Ave / Amherst St,41,Packard's Corner - Commonwealth Ave at Brighton Ave
103466,357,Centre St at Seaverns Ave,160,Wentworth Institute of Technology - Huntington Ave at Vancouver St
102776,355,Bennington St at Constitution Beach,210,Bennington St at Byron St
102160,364,Tremont St at Northampton St,14,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave
100558,74,Harvard Square at Mass Ave/ Dunster,22,South Station - 700 Atlantic Ave
100109,75,Lafayette Square at Mass Ave / Main St / Columbia St,39,Washington St at Rutland St
99464,214,Airport T Stop - Bremen St at Brooks St,212,Maverick Square - Lewis Mall
99329,55,Boylston St at Massachusetts Ave,36,Copley Square - Dartmouth St at Boylston St
98926,340,Blue Hill Ave at Almont St,340,Blue Hill Ave at Almont St
97958,260,Fields Corner T Stop,259,Washington St at Bradlee St
97951,260,Fields Corner T Stop,259,Washington St at Bradlee St
96930,119,South Boston Library - 646 E Broadway,106,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave
96035,379,Tremont St at W. Dedham St,169,Edwards Playground - Main St at Eden St
94603,22,South Station - 700 Atlantic Ave,163,The Lawn on D
94523,211,Piers Park,212,Maverick Square - Lewis Mall
93734,51,Washington St at Lenox St,170,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave
93287,151,Surface Rd at India St,129,Hayes Square - Vine St at Moulton St
92902,37,New Balance - 20 Guest St,1,18 Dorrance Warehouse
92352,361,Deerfield St at Commonwealth Ave,19,Park Dr at Buswell St
91461,58,Mugar Way at Beacon St,182,Museum of Science
91113,65,Boston Convention and Exhibition Center - Summer St at West Side Dr,1,18 Dorrance Warehouse
90209,200,Washington St at Melnea Cass Blvd,1,18 Dorrance Warehouse
89359,40,Lewis Wharf at Atlantic Ave,98,Warren St at Chelsea St
89151,52,Newbury St at Hereford St,364,Tremont St at Northampton St
89122,54,Tremont St at West St,1,18 Dorrance Warehouse
88832,199,Uphams Corner T Stop - Magnolia St at Dudley St,81,Chinatown T Stop
88298,49,Stuart St at Charles St,49,Stuart St at Charles St
86945,157,Seaport Blvd at Sleeper St,186,Congress St at Northern Ave
86939,157,Seaport Blvd at Sleeper St,186,Congress St at Northern Ave
86657,5,Northeastern University - North Parking Lot,359,One Brigham Circle
86566,49,Stuart St at Charles St,1,18 Dorrance Warehouse
85876,146,Murphy Skating Rink - 1880 Day Blvd,93,JFK/UMass T Stop
84327,199,Uphams Corner T Stop - Magnolia St at Dudley St,206,Government Center - Cambridge St at Court St
83968,30,Brigham Circle - Francis St at Huntington Ave,364,Tremont St at Northampton St
83960,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,335,Harvard St at Greene-Rose Heritage Park
83927,355,Bennington St at Constitution Beach,355,Bennington St at Constitution Beach
83731,189,Kendall T,4,Tremont St at E Berkeley St
82300,134,Boylston St at Dartmouth St FORMER,367,Vassal Lane at Tobin/VLUS
82127,98,Warren St at Chelsea St,145,Rindge Avenue - O'Neill Library
82091,29,Innovation Lab - 125 Western Ave at Batten Way,29,Innovation Lab - 125 Western Ave at Batten Way
81955,29,Innovation Lab - 125 Western Ave at Batten Way,29,Innovation Lab - 125 Western Ave at Batten Way
81641,206,Government Center - Cambridge St at Court St,206,Government Center - Cambridge St at Court St
81100,74,Harvard Square at Mass Ave/ Dunster,387,7 Acre Park
